م,title,category,city,address,phone,offers,contact_person,contact_person_phone,notes
1,مستشفيات اندلسية,مستشفى,المعادى , 4ج/6 تقسيم  اللاسلكى - المعادى الجديدة,16781,خصم 25 % على الكشف - 20 % على الداخلى والعمليات ,"مى
مارينا","010 60760290
012 80856698",
2,مستشفى الشبراويشي,مستشفى,الدقى,ميدان فيـــنى,37606444,خصم 20% على الكشف - 10% على العمليات والرعاية  والداخلى,نانسي,010 22053377,
3,مستشفى بدران ,مستشفى,الدقى,3ش الاحرار,19986,خصم 30% على الكشف - 20% على الداخلى والعمليات,حسين,010 95699919,
4,مستشفى جراند,مستشفى,مصر الجديدة,177ش العروبة امام بوابة الكلية الحربية,012 11118702,خصم 50 % على الكشف - 30% على الخدمات,كريم خطاب,0111 0008535,
5,مستشفى فلسطين,مستشفى,مصر الجديدة,64ش الثورة ارض الجولف,22909007,خصم 25% على الخارجى - 20 % على الداخلى,احمد فوزى,010 06154672,
6,مستشفى الخلفاء الراشدين,مستشفى,مصر الجديدة,1ش السباق من ش الحجاز ,26366340,خصم 15%,سيد,0111 4017888,
7,مستشفى المستقبل التخصصي,مستشفى,مصر الجديدة,67ش نخلة المطيعى - ميدان تريومف,011 51001177,خصم 30% على الكشف 20% على الفحوصات 15 % على العمليات,زينب,012 27360203,
8,مستشفى الميريلاند,مستشفى,مصر الجديدة,91ش جسر السويس - اشارة روكسي,22579226,خصم 20% على الكشف - 10% على العمليات والرعاية  والداخلى,معتز,0100 5666698,
9,مستشفى غار حراء,مستشفى,مصر الجديدة,28أ ش الحجاز ميدان المحكمة,011 04792411,خصم 50 % على الكشف - 15 % على العمليات - 10% على الرعاية ,احمد راغب,010 11112229,
10,مستشفى روكسي التخصصي,مستشفى,مصر الجديدة,25ش الخليفة المأمون - روكسي,010 20880066,كشف طوارىء واخصائي 180ج - استشارى 250ج - خصم 10% على الخارجى - 5% على العمليات والرعاية ,فاطمة ,011 28310236,
11,مستشفى البدر التخصصى,مستشفى,مصر الجديدة,37ش مراد بك - صلاح الدين,010 99496777,خصم 50% على الكشف - 20% على الخارجى  10% على العمليات والرعاية  ,د حازم حمدى,010 99496777,
12,مستشفى الثورة,مستشفى,مصر الجديدة,11ش الثورة - الكوربة ,012 11240006,خصم 25 % على الكشف والاحراءات,فاتن,011 44866962,
13,مستشفى النخبة الدولى,مستشفى,مدينة نصر,35ش عبد الرازق النهورى - مكرم عبيد,012 23566000,خصم 25 % على الكشف - 15% على الداخلى والعمليات,محمود الصغير,010 95775804,
14,مستشفى كيور,مستشفى,مدينة نصر,25ش حمودة محمود امام انبى للبترول,010 27027070,خصم 35% على الكشف - خدمات الخارجى 25% - الداخلى 20%,ريهام شعبان,011 40828808,
15,مستشفى السلام التخصصي,مستشفى,الزيتون,141ش طومان باى ,012 88601440,خصم 35% على الكشف - 10% على الداخلى والعمليات,محمد حجازى,0100 8180090,
16,مستشفى المعلمين التخصصي,مستشفى,حلمية الزيتون,6ش البشرى حلمية الزيتون,0100 1301506,خصم 40% على الكشف - 20% على العمليات والرعاية  والداخلى,د السيد العباسي,012 28531212,
17,مستشفى زمزم التخصصي,مستشفى,حلمية الزيتون,8ش سكر من ش عين شمس خلف عمر افندى,0100 9632760,خصم 50% على الكشف - 20% على العمليات والرعاية  والداخلى,د محمد اسماعيل,010 15961150,
18,مستشفى المحبة القبطية,مستشفى,شبرا  ,9ش جزيرة بدران ,25769269,خصم 20% على الكشف - 10% على الداخلى والعمليات ,101010,101010,
19,المركز الدولى الطبى,مستشفى,شبرا  ,26ميدان احمد حلمى,01000 838181,خصم 50 % على الكشف - خصم 15 % على الفحوصات والعمليات,اميرة,011 00605031,
20,مستشفى السابل,مستشفى,القبة,13ش حفى ناصف من مصر والسودان,012 22463728,خصم 25 % على الخارجى والداخلى,مارى,012 83924424,
21,مستشفى الفؤاد,مستشفى,القبة,ش مصر والسودان خلف مسجد كشك,012 80033300,خصم 30% على الكشف - 15% على الداخلى والعمليات ,فاطمة ,0100 9641710,
22,مستشفى شرف,مستشفى,العاشر من رمضان,المجاورة العاشرة ارض المستشفيات ,012 88840800,خصم 30% على الكشف - 15% على الداخلى والعمليات ,فاطمة ,0100 9641710,
23,الفؤاد لجراحة العظام,مستشفى,العاشر من رمضان,مجاورة 12 بجوار الصفا مول,012 88810800,خصم 30% على الكشف - 15% على الداخلى والعمليات ,فاطمة ,0100 9641710,
24,مركز اليسر,مستشفى,العاشر من رمضان,مجاورة 43 بجوار المسجد,012 80055554,خصم 30% على الكشف - 15% على الداخلى والعمليات ,فاطمة ,0100 9641710,
25,مستشفى الزهراء التخصصى,مستشفى,اسيوط,ش الجلاء منطقة فريال,010 25610585,خصم 50% على الكشف - 10% على العمليات - 25% على الاشعة والتحاليل,اشرف,0100 5663399,
26,مستشفى القدس,مستشفى,اسيوط,1ميدا جامعة الازهر نهاية كوبرى فيصل,010 00363009,خصم 30% على الكشف - 15% على الداخلى والعمليات ,احمد,010 50908974,
27,مستشفى جنات,مستشفى,سوهاج,100تقســـيم الشروق,010 32222158,خصم 30% على الكشف - 30% على الداخلى والعمليات ,المدير,011 00325231,
28,مستشفى قصر الشفا,مستشفى,الدخيلة,العجمى - الدخيلة بجوار الكنيسة الحمراء,15772,خصم 10 %,تغريد,012 77703661,
29,مستشفى الصفوة الملكى,مستشفى,الاسكندرية,ميامى - 16 ش محمد انور السادات,011 44449443,خصم 30 % على الكشف - 15 % على باقى الخدمات,هشام,012 10601184,
30,مستشفى زهور الطب,مستشفى,الجيزة,1ش نظير شرف - نزلة الكنيسة - العمرانية,0100 6292295,خصم 50% على الكشف - 30% على العمليات,حسن خطاب,010 06292295,
31,مستشفى الزهراء بالعياط,مستشفى,العياط,ش الجيش ,0100 6292295,خصم 50% على الكشف - 30% على العمليات,حسن خطاب,010 06292295,
32,فيتال كير,عيادات تخصصية,مصر الجديدة,12ش بطرس غالى - روكسي,012 72222090,خصم 50 % على الكشف - 30 % على الخدمات,محمود درويش,012 00068229,
33,عيادات يشفين,عيادات تخصصية,مصر الجديدة,ش الخليفة المامون بجوار المركز التخصصي للعيون,,خصم 50 % على الكشف ,د محمد جمال,0100 9981116,
34,H M C ,عيادات تخصصية,التجمع الخامس,مول اوزون الطبى ,0100 15601963,خصم 50 % على الكشف - 30 % على الخدمات,محمود درويش,012 00068229,
35,توب كير,عيادات تخصصية,الدقى,12ش مصدق,16465,خصم 50 % على الكشف - 20% على الاجراءات,هانى,0111 9135000,
36,عيادات نايل هيلث,عيادات تخصصية,الاسماعيلية,17ش التحرير ,010 03625220,كشف 150 ج - خصم 25 % على كافة الاجراءات,د بلال,010 03625220,
37,عيادات طيبة + رعاية منزلية,عيادات تخصصية,جسر السويس,432ش الصفا والمروة - جمال عبد الناصر,011 29888224,خصم 35% على الكشف و الزيارات المنزلية,طارق,011 29888224,
38,مركز الاهرام الطبى الدولى ,مركز طبى ,مدينة نصر ,5طريق النصر بجوار طيبة مول,012 05385817,خصم 50 % على الكشف - 40% تحاليل 20%-25% خدمات 10% - 15% اسنان,هند,010 62003699,
39,مراكز كـاى مـبد,عيادات,مصر الجديدة,4ش اللوكاندة من ش الاهرام روكسي,012 83472222,كشف 300 ج - خصم 30% على الخدمات والعمليات والمناظير,محمود مجدى,010 64926326,
40,مراكز كـاى مـبد,عيادات,عمارات العبور,16أ عارات العبور صلاح سالم,012 83472222,كشف 300 ج - خصم 30% على الخدمات والعمليات والمناظير,محمود مجدى,010 64926326,
41,مراكز كـاى مـبد,عيادات,التجمع الخامس,مول HCC  عيادة 323,012 83472222,كشف 300 ج - خصم 30% على الخدمات والعمليات والمناظير,محمود مجدى,010 64926326,
42,مراكز كـاى مـبد,مركز طبى,الهرم ,2ش المجزر الالى مع المريوطية,012 83472222,كشف 300 ج - خصم 30% على الخدمات والعمليات والمناظير,محمود مجدى,010 64926326,
43,مراكز كـاى مـبد,مركز طبى,شرم الشيخ,مول C3 خليج نعمة جنينة سيتى,012 83472222,كشف 300 ج - خصم 30% على الخدمات والعمليات والمناظير,محمود مجدى,010 64926326,
44,مراكز كـاى مـبد,مركز طبى,البحر الاحمر,الغردقة - الدهار  ش النصر بجوار مكتب البريد الرئيسى,012 83472222,كشف 300 ج - خصم 30% على الخدمات والعمليات والمناظير,محمود مجدى,010 64926326,
45,عيادات حسام منصور,عيادات تخصصية,مصر الجديدة,38ش الاهرام روكسي,012 03210060,خصم 20%,نهى,010 69934401,
46,عيادات حسام منصور,عيادات تخصصية,مدينة نصر ,اخر ش عباس العقاد ميدان انبى,012 05077255,خصم 20%,نهى,010 69934401,
47,عيادات حسام منصور,عيادات تخصصية,المعادى,ش 7 ميدان محطة المترو,012 05077266,خصم 20%,نهى,010 69934401,
48,عيادات حسام منصور,عيادات تخصصية,حلوان,ميدان المحطة,012 05077244,خصم 20%,نهى,010 69934401,
49,عيادات حسام منصور,عيادات تخصصية,حلوان,عمارة الصيفى الدور الثانى - ميدان المحطة,012 05077233,خصم 20%,نهى,010 69934401,
50,عيادات حسام منصور,عيادات تخصصية,المنيب,4ش احمد الزمر ميدان محطة المنيب ,012 85095550,خصم 20%,نهى,010 69934401,
51,عيادات حسام منصور,عيادات تخصصية,عزبة النخل,امام محطة المترو,012 03210010,خصم 20%,نهى,010 69934401,
52,مستشفيات جنة,حقن مجهرى,مصر الجديدة,12ش بطرس غالى,02 24533893,خصم 50% على الكشف - 5% على العمليات والفحوصات,ا . حسام,0100 1562037,
53,مستشفيات جنة,حقن مجهرى,المهندسين,51ش شهاب ,011 17775082,خصم 50% على الكشف - 5% على العمليات والفحوصات,ا . حسام,0100 1562037,
54,مستشفيات جنة,حقن مجهرى,شبرا  ,14ش معمل الالبان - الخلفاوى,010 14999950,خصم 50% على الكشف - 5% على العمليات والفحوصات,ا . حسام,0100 1562037,
55,مستشفيات جنة,حقن مجهرى,الهرم,372ش الهرم امام رادوبيس,012 12127083,خصم 50% على الكشف - 5% على العمليات والفحوصات,ا . حسام,0100 1562037,
56,مستشفيات جنة,حقن مجهرى,اكتوبر,ميدان الحصرى - مجمع بريما فستا ,012 12727170,خصم 50% على الكشف - 5% على العمليات والفحوصات,ا . حسام,0100 1562037,
57,د موريس فكرى,تجميل,مصر الجديدة,126ش النزهة - ميدان تريومف,011 00818181,خصم 50% على الكشف - 25% على العمليات والاجراءات,د موريس,011 25666629,
58,د موريس فكرى,تجميل,المهندسين,21ش البطل احمد عبد العزيز ,012 288837037,خصم 50% على الكشف - 25% على العمليات والاجراءات,د موريس,011 25666629,
59,د موريس فكرى,تجميل,التجمع الخامس,مولCMC عيادة 331 التسعين الشمالى خلف المستشفى الجوى,0100 1195432,خصم 50% على الكشف - 25% على العمليات والاجراءات,د موريس,011 25666629,
60,تارجت - أ . د  شريف حسنين,علاج اورام,مصر الجديدة,1أش السباق - من جسر السويس - التجنيد ,011 04810523,خصم 50% على الكشف - 25% على جلسات الكيماوى ,د شريف,0100 1924613,
61,يوروكير - د ناير رفقى,تفتيت حصوات,مصر الجديدة,4ش الميرغنى - روكسي,0111 6333650,خصم 40 % على الكشف - خصم 20 % على تفتيت الحصوات,د ناير رفقى,0100 1232330,كل يوم من8 الى 10 مساءا عدا الخميس والجمعة
62,درة المنى,صدر ورعاية,اكتوبر,مول انفنيتى الطبى - ميدان فودافون,0111 8877059,خصم 15%,د مرام مجدى,010 50113502,
63,ميديكال سبلايز,اجهزة تعويضية,وسط البلد,3ش جريدة السياسة - السيدة زينب,010 68413650,خصم 25% على المتجات - امكاية التقسيط,ايمان,010 68413650,
64,مركز E N T ,انف واذن,مدينة نصر ,123ش حسن المامون امام النادى الاهلى ,010 66641224,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
65,مركز E N T ,انف واذن,مصر الجديدة,16ش الاندلس خلف الميريلاند,011 04781867,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
66,مركز E N T ,انف واذن,التجمع الخامس,الحى الاول ميديكال سنتر ,010 15336667,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
67,مركز E N T ,انف واذن,المهندسين,56ش سوريا ,010 11840058,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
68,مركز E N T ,انف واذن,المعادى,ش زهراء المعادى الرئيسي برج ايليت,010 61988484,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
69,مركز E N T ,انف واذن,الشروق,مول بانوراما الشروق,012 78687179,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
70,مركز E N T ,انف واذن,الجيزة ,30ش مراد,012 06899983,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
71,مركز E N T ,انف واذن,اكتوبر,415المحور المركزى امام جامعة 6 اكتوبر,010 40603078,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
72,مركز E N T ,انف واذن,الشيخ زايد,مزار مول الدور الثانى,010 14198168,خصم 50 % على الكشف والعمليات والفحوصات,اسامة على,010 64653349,
73,مركز رعاية الطفل,تنمية فكرية,مدينة نصر ,53ش عبد الله بن طاهر من ابو داود الظواهرى,010 94095966,خصم 20% - 15 %,د احمد زيدان,010 94359759,
74,مركز العين ,عيون وليزك,مصر الجديدة,7ش محرم شوقى من ش العروبة,22911611,خصم 50% - خصم 15 % على الفحوصات والعمليات,امين منصور,010 08705207,
75,المركز التخصصي للعيون,عيون وليزك,مصر الجديدة,18ش الخليفة المأمون,19980,خصم 50 % على الكشف 40% على الفحوصات 30 % على العمليات 15% ليزك,احمد راغب,010 11112229,
76,جلوبال للعيون,عيون وليزك,وسط البلد,6ميدان باب اللوق امام جراج الفلكى,01000 569046,خصم 50 % على الكشف - خصم 15 % على الفحوصات والعمليات,امين منصور,010 08705207,
77,رؤيا شبرا للعيون,عيون وليزك,شبرا,288ش شبرا ميدان المظلات,01000 430317,خصم 15 % - كشف 170 ج ,امين رفعت,010 62294521,
78,نور العيون التخصصي,مركز رمد,الهرم,365ش الهرم امام كازينو الليل,011 44146813,خصم 50% على الكشف - 20% على العمليات - 25% على النظارات,مؤمن,010 21047998,
79,دنيا العيون,عيون وليزك,الدقى,12ش مصدق,16465,خصم 50 % على الكشف - 20% على الفحوصات - 15% على العمليات,هانى,0111 9135000,
80,مركز مدينة العيون,عيون وليزك,التجمع الخامس,التسعين الجنوبى خلف المستشفى الجوى - مول HCC,012 00042001,خصم 50 % على الكشف - 20% على الفحوصات - 20% على العمليات,101010,101010,
81,العيون الدولى,عيون وليزك,مصر الجديدة,21ش الاندلس خلف الميريلاند,19650,مفيش عرض,101010,101010,
82,العيون الدولى,عيون وليزك,الدقى,14ش عادل حسين رستم ميدان فينى,19650,مفيش عرض,101010,101010,
83,العيون الدولى,عيون اطفال ,الدقى,19ش عادل حسين رستم,19650,مفيش عرض,101010,101010,
84,العيون الدولى,عيون وليزك,التجمع الخامس,ديستريكت 5,19650,مفيش عرض,101010,101010,
85,العيون الدولى,عيون وليزك,الاقصر,العوامية نزلة الزناتى بجوار كلية الفنون الجميلة,19650,مفيش عرض,101010,101010,
86,العيون الدولى,عيون وليزك,الفيوم,دله - 16 ش العمدة من ش الحرية ,19650,مفيش عرض,101010,101010,
87,العيون الدولى,عيون وليزك,دمياط الجديدة,,19650,مفيش عرض,101010,101010,
88,صيدليات القماح,صيدلية,مصر الجديدة,19ش على ابراهيم رامز - امام مستشفى هليوبوليس,010 91799964,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
89,صيدليات القماح,صيدلية,مصر الجديدة,1ميدان الجامع ,0111 5581814,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
90,صيدليات القماح,صيدلية,مصر الجديدة,16ش محمد البقلى من ش الحجاز ,011 43256266,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
91,صيدليات القماح,صيدلية,مصر الجديدة,53ش المقريزى برج الاطباء,011 43255651,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
92,صيدليات القماح,صيدلية,مصر الجديدة,122أ ش جسر السويس ,011 40901918,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
93,صيدليات القماح,صيدلية,مدينة نصر ,3عمارات رابعة الاستثمارى ش النزهة,010 28589100,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
94,صيدليات القماح,صيدلية,مدينة نصر ,21ش حافظ بدوى - الحى السابع خلف الشبراوى,012 86770221,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
95,صيدليات القماح,صيدلية,الف مسكن,147ش الانتاج,012 72000556,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
96,صيدليات القماح,صيدلية,رمسيس,3ش الصحافة امام مستشفى الجلاء للولادة,012 72072228,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
97,صيدليات القماح,صيدلية,العجوزة,13ش سالم سالم خلف نعمة,012 29911192,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
98,صيدليات القماح,صيدلية,اكتوبر,الحى 12 ميدان فودافون  بلوك 51 - 52 - امام المخبز,012 72771114,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
99,صيدليات القماح,صيدلية,المرج,ش البترول من ش مؤسسة الزكاة - مدينة الصفا,011 43264424,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
100,صيدليات القماح,صيدلية,المرج,ش مؤسسة الزكاة بجوار مستشفى اليوم  الواحد,011 24735920,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
101,صيدليات القماح,صيدلية,المرج,ش مؤسسة الزكاة  امام مستشفى تبارك,012 72000336,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
102,صيدليات القماح,صيدلية,المرج,ش مؤسسة الزكاة ابجوار المجزر,012 29941119,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
103,صيدليات القماح,صيدلية,بهتيم,1ش المدارس ميدان بهتيم ,012 29911163,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
104,صيدليات القماح,صيدلية,الاسكندرية,العصافرة بحرى - 1 أ ش اطلس - فندق ريجينسي,012 72076667,خصم 12% محلى - 5% مستورد ,د رحاب,010 63812058,
105,صيدلية ناجى بطرس,صيدلية,مصر الجديدة,8ش سيزوستريس - من ش الاهرام ,0100 5341999,خصم 12% محلى - 5% مستورد - 7 % مستحضرات,د ناجى,012 22206098,
106,صيدلية رضوى,صيدلية,مصر الجديدة,31ش محمود الديب من جسر السويس - امام سنترال مصر الجديدة,010 21420058,خصم 12% محلى - 5% مستورد - 7 % مستحضرات,د احمد,010 21420058,
107,صيدلية المصطفى,صيدلية,مصر الجديدة,36ش الامام على - ميدان الاسماعيلية,010 17131688,خصم 8% على الدواء المحلى - 5% على المستورد - 6% على المستحضرات,د مصطفى,010 11941418,
108,صيدلية شتيلة ,صيدلية,مصر الجديدة,16ش الامام على - ميدان الاسماعيلية,24182582,خصم 7% محلى - 5% مستورد - 7 % مستحضرات,محمد العمبرى,010 12005560,
109,صيدلية هدى عبد الحميد,صيدلية,الاسكندرية,سيدى بشر - 24  ارض الفضالى ,012 22745960,خصم 12% محلى - 7% مستورد ,حسنى والد هاجر,010 65306480,
110,صيدليات حمود,صيدلية,اكتوبر,الحى ال 11 سنتر البكرى امام مكتب العمل,010 20094631,خصم 15 % على الدواء المحلى - 7 % على المستورد - 10 % على المستحضرات,د عبد الرحمن,011 53913774,
111,صيدليات حمود,صيدلية,اكتوبر,الحى الخامس سوتي مول,010 98347743,خصم 15 % على الدواء المحلى - 7 % على المستورد - 10 % على المستحضرات,د عبد الرحمن,011 53913774,
112,صيدليات مجدى عبده,صيدلية,اسيوط,اسيوط الجديدة - امتداد الطرق المواجه للقرية الذكية,012 08791411,خصم 12% محلى - 5% مستورد ,د مجدى ,011 58900197,
113,صيدليات مجدى عبده,صيدلية,اسيوط,ابنوب - تقسيم الجنينة امتداد الطريق المواجه للبنك الاهلى,012 08790964,خصم 12% محلى - 5% مستورد ,د مجدى ,011 58900197,
114,صيدليات مجدى عبده,صيدلية,اسيوط,الفتح - شارع السينما القديمة,012 08790974,خصم 12% محلى - 5% مستورد ,د مجدى ,011 58900197,
115,صيدليات مجدى عبده,صيدلية,اسيوط,المعلمين - شارع الجنينة الرئيسى بجوار سيراميك التلاوى,011 20598107,خصم 12% محلى - 5% مستورد ,د مجدى ,011 58900197,
116,صيدلية وليد منصور,صيدلية,مدينة نصر ,المنطقة التاسعة - ش ابراهيم شحاتة,010 22228118,خصم 18% محلى - 8% مستورد - مستحضرات 10%,د وليد ,010 22228118,
117,صيدليات دوس,صيدلية,مصر الجديدة,شيراتون - 24ش سيد زكريا امام مترو ماركت,015 55712000,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
118,صيدليات دوس,صيدلية,مصر الجديدة,الميريلاند - 23ش الحجاز بجوار ماكدونالدز,015 55612000,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
119,صيدليات دوس,صيدلية,مصر الجديدة,ميدان المحكمة - 9ش عاطف بركات ناصية اباظة,010 17717714,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
120,صيدليات دوس,صيدلية,مصر الجديدة,40ش الماظة,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
121,صيدليات دوس,صيدلية,مصر الجديدة,97ش محمد فريد سميكة - نادى الشمس,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
122,صيدليات دوس,صيدلية,مدينة نصر ,101ابراج التوفيق خضر التونى ش الطيران,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
123,صيدليات دوس,صيدلية,الدمرداش,86ش ترعة الجبل بجوار محطة الدمرداش,010 28881114,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
124,صيدليات دوس,صيدلية,حمامات القبة,20ش دار السلام بجوار كنيسة مارجرجس,010 22501500,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
125,صيدليات دوس,صيدلية,الزيتون,17ش بنى طى بجوار سوق سراى القبة ,010 20004906,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
126,صيدليات دوس,صيدلية,الزيتون,109ش طومان باى,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
127,صيدليات دوس,صيدلية,ابن الحكم,35ابراج بيت العز,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
128,صيدليات دوس,صيدلية,دير الملاك,23ش ترعة الجبل,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
129,صيدليات دوس,صيدلية,الظاهر,6ش العباسية ,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
130,صيدليات دوس,صيدلية,الظاهر,4ش محمود فهمى المعمارى,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
131,صيدليات دوس,صيدلية,القاهرة الجديدة,ش مستشفى دار الصحة من محور جمال عبد الناصر حى الدبلوماسيين,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
132,صيدليات دوس,صيدلية,الرحاب,السوق الشرقى محل 3G ,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
133,صيدليات دوس,صيدلية,التجمع الخامس,قطعة 20 شالتسعين الجنوبى قطاع 4 ثرى سكايز بلازا مول,015 57888847,خصم 10% محلى - 5% مستورد ,د واىل,011 40089552,
134,صيدلية عين,صيدلية,مدينة نصر ,28ش ابراهيم الرفاعى - مصطفى النحاس ,0100 50228411,خصم 12% محلى - 5% مستورد ,د رنا,010 05022841,
135,صيدليات هيلثى,صيدلية,مصر الجديدة,13ش المنتزه ميدان هليوبوليس,015 05172701,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
136,صيدليات هيلثى,صيدلية,مصر الجديدة,10ش عمار بن ياسر,015 05172708,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
137,صيدليات هيلثى,صيدلية,مدينة نصر ,6ش النزهة - دار الدفاع,015 05172709,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
138,صيدليات هيلثى,صيدلية,مدينة نصر ,56ش النزهة,015 05172704,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
139,صيدليات هيلثى,صيدلية,مدينة نصر ,13ش عمربن الخطاب - السابع,015 05172706,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
140,صيدليات هيلثى,صيدلية,التجمع الخامس,بيزنس بلازا مول,015 05172702,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
