م,title,category,city,address,phone,offers,contact_person,contact_person_phone,notes
141,صيدليات هيلثى,صيدلية,الرحاب,المركز الطبى بجوار المنطقة السادسة,015 58417270,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
142,صيدليات هيلثى,صيدلية,المعادى,5طريق الاوتوسطراد - زهراء المعادى,015 05172703,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
143,صيدليات هيلثى,صيدلية,المهندسين,15ش احمد عرابى,015 05172707,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
144,صيدليات هيلثى,صيدلية,المهندسين,21ش محى الدين ابو العز,015 05172705,خصم 12% محلى - 6% مستورد ,د يوسف,010 99045278,
145,صيدلية د اكرام,صيدلية,البحر الاحمر,الغردقة - السقالة  برج الاطباء,0100 3804837,خصم 11% محلى - 5% مستورد ,د اكرام,1010101,
146,صيدلية الكرمة,صيدلية,قـنا,نجع حمادى - شارع 30 مارس ,012 82633477,خصم 10% محلى - 5% مستورد ,د وائل,1010101,
147,صيدليات الشعب,صيدلية,سوهاج,ميدان الكردى خلف النفق القبلى,010 97980380,خصم 10% محلى - 5% مستورد ,د محمد ,010 68972398,
148,صيدليات الشعب,صيدلية,سوهاج,ش النقراشي من ش الجرجاوية,010 98280580,خصم 10% محلى - 5% مستورد ,د محمد ,010 68972398,
149,البرج سكان,اشعة,مصر الجديدة,67ش الميرغنى - كلية البنات,19911,خصم 10 % على قائمة الاسعار,احمد محمود,010 08653461,
150,البرج سكان,اشعة,مدينة نصر,22ش عبد الرازق السنهورى,19911,خصم 10 % على قائمة الاسعار,احمد محمود,010 08653461,
151,البرج سكان,اشعة,المعادى,30ميدان الجزائر امام البنك الاهلى ,19911,خصم 10 % على قائمة الاسعار,احمد محمود,010 08653461,
152,البرج سكان,اشعة,شبرا,59ش شبرا ,19911,خصم 10 % على قائمة الاسعار,احمد محمود,010 08653461,
153,برو سكان,اشعة,مدينة نصر,101ش مصطفى النحاس ,010 10055111,خصم 40% على قائمة المركز,احمد جمال,010 10429130,
154,برو سكان,اشعة,التجمع الخامس,التسعين الجنوبى خلف مستشفى نسايم,010 10055111,خصم 40% على قائمة المركز,احمد جمال,010 10429130,
155,برو سكان,اشعة,الرحاب,بوابة 6 ميديكال بارك  الدور الثانى,010 10055111,خصم 40% على قائمة المركز,احمد جمال,010 10429130,
156,مركز ســـــما سكان,اشعة,حلمية الزيتون,ميدان حلمية الزيتون - برج الفهيم,012 87076332,خصم  30% على الرنين - 25% على المقطعية و كل الفحوصات,محمد صبحى,0100 0375539,
157,مركز جاما للاشعة,اشعة,مصر الجديدة,1ش السباق - من ش الحجاز - بجوار الميريلاند,0100 2235022,خصم 25% على كل الفحوصات,سارة,011 25238662,
158,مركز جاما للاشعة,اشعة,بنى سويف,ميدان الزراعيين - بجوار نقابة الزراعيين,010 23001755,خصم 25% على كل الفحوصات,سارة,011 25238662,
159,مركز جاما للاشعة,اشعة,بنى سويف,صلاح سالم - بجوار البنك الاهلى ,012 77849444,خصم 25% على كل الفحوصات,سارة,011 25238662,
160,مركز جاما للاشعة,اشعة,الفشن,ش البنك الاهلى القديم - بجوار المختبر ,010 12995222,خصم 25% على كل الفحوصات,سارة,011 25238662,
161,مركز جاما للاشعة,اشعة,الواسطى,ش الجمهورية - خلف مركز الشرطة,010 26111269,خصم 25% على كل الفحوصات,سارة,011 25238662,
162,مركز جاما للاشعة,اشعة,ببا,ش المستشفى الاميرى - اعلى حلوانى المحمدى,012 80852876,خصم 25% على كل الفحوصات,سارة,011 25238662,
163,مركز جاما للاشعة,اشعة,المنيا,مغاغة  - اول ش السلام - ميدان الحمامة,010 14148587,خصم 25% على كل الفحوصات,سارة,011 25238662,
164,مركز بدر للاشعة,اشعة,مدينة بدر, 60ش الحرية  بدربلازا مول - الحى الاول  المجاورة الثانية,010 18006447,خصم 20% على لائحة اسعار المركز,محمد عماد,1010101,
165,توب سكان ,اشعة,مدينة نصر,16عمارات رابعة الاستثمارى ميدان الساعة,01000 373137,"خصم 35% على الرنين - 30% على المقطعية - 20% على باقى الاشعة
خصم 30% على التحاليل - 20 % على الاشعة المنزلية ",هيثم ,012 73323140,
166,فيو سكان ,اشعة,مدينة نصر,82ش الطيران ,012 88288769,خصم 15 % على كل الفحوصات,محمد مصطفى,012 11267242,
167,كويك سكان,اشعة,منزلية,الادارة  -  12ش الحجاز - مصر الجديدة,012 83335095,خصم 20 % على الفحوصات المنزلية ,101010,101010,
168,رديولوجى سكان,اشعة,منزلية,متنقل ,010 94996062,خصم 20 % على الفحوصات المنزلية ,جرجس,011 48189307,
169,مصر للاشعة,اشعة,مصر الجديدة,8ش الخليفة المامون,19773,خصم 15 % على كل الفحوصات,محمد راشد,012 22793335,
170,مصر للاشعة,اشعة,مصر الجديدة,11ش الميرغنى,012 11114092,خصم 15 % على كل الفحوصات,محمد راشد,012 22793335,
171,مصر للاشعة,اشعة,مدينة نصر,تقاطع مصطفى النحاس وعباس العقاد,19773,خصم 15 % على كل الفحوصات,محمد راشد,012 22793335,
172,مصر للاشعة,اشعة,التجمع الخامس,ش التسعين خلف المستشفى الجوى,011 11819773,خصم 15 % على كل الفحوصات,محمد راشد,012 22793335,
173,المختبر,تحاليل,فروع,,,خصم 10 % على الاسعار,101010,101010,
174,البرج,تحاليل,فروع,,,خصم 10 % على الاسعار,101010,101010,
175,رويال لاب,تحاليل,فروع,,,خصم 30 %,101010,101010,
176,وليد حمدى,تحاليل,المعادى,,,خصم 40 %,د وليد ,011 45997224,
177,عـز لاب,تحاليل,فروع,,,خصم 40 % على الاسعار,اشرف,012 02534909,
178,معمل نيو حورس ,تحاليل,مدينة نصر,79ه طريق النصر - طيبة مول,0111 4867479,خصم 30 %,د منه,0111 4867479,
179,معامل فرست لاب ,تحاليل,المهندسين,46ش محى الدين ابو العز,011 19017500,خصم 35 %,محمد مصطفى,012 11267242,
180,معامل فرست لاب ,تحاليل,امبابة,ميدان القومية تقاطع عمر بن الخطاب  عمارة السنوسي,011 40664491,خصم 35 %,محمد مصطفى,012 11267242,
181,معامل فرست لاب ,تحاليل,فيصل ,اول كوبرى فيصل برج الاطباء ,011 15275544,خصم 35 %,محمد مصطفى,012 11267242,
182,معامل فرست لاب ,تحاليل,اكتوبر ,المحور المركزى خلف مسجد الحصرى سنتر الفيروز,011 51840005,خصم 35 %,محمد مصطفى,012 11267242,
183,معامل فرست لاب ,تحاليل,المنيل,78ش المنيل اعلى سامسونج,011 54454971,خصم 35 %,محمد مصطفى,012 11267242,
184,معامل فرست لاب ,تحاليل,السيدة,1مكرر ميدان السيدة زينب,011 50446697,خصم 35 %,محمد مصطفى,012 11267242,
185,معامل فرست لاب ,تحاليل,مصر الجديدة,12ش بطرس غالى روكسي,011 17606010,خصم 35 %,محمد مصطفى,012 11267242,
186,معامل فرست لاب ,تحاليل,المطرية,3أ ش الحرية ميدان المطرية,011 44428629,خصم 35 %,محمد مصطفى,012 11267242,
187,معامل فرست لاب ,تحاليل,عين شمس ,85ش عين شمس برج البارون,010 20977886,خصم 35 %,محمد مصطفى,012 11267242,
188,معامل فرست لاب ,تحاليل,حلوان,34ش شريف ,011 56840033,خصم 35 %,محمد مصطفى,012 11267242,
189,معامل فرست لاب ,تحاليل,شبرا الخيمة,ش 15 مايو امام كريستال عصفور,010 60001311,خصم 35 %,محمد مصطفى,012 11267242,
190,معامل فرست لاب ,تحاليل,قليوب,قليوب المحطة برج زعزع الادارى امام مركز قليوب,011 17211633,خصم 35 %,محمد مصطفى,012 11267242,
191,معامل فرست لاب ,تحاليل,شبين الكوم,25ش احمد ماهر برج النور ,011 17603652,خصم 35 %,محمد مصطفى,012 11267242,
192,معامل فرست لاب ,تحاليل,الغربية,زفتى - امام مجلس المدينة برج ابو شوشة,011 11876622,خصم 35 %,محمد مصطفى,012 11267242,
193,معامل فرست لاب ,تحاليل,بنى سويف ,ش عبد السلام عارف  ابراج الاوقاف برج كوثر,010 22924600,خصم 35 %,محمد مصطفى,012 11267242,
194,معامل فرست لاب ,تحاليل,الفيوم,ميدان المسلة  برج البشير بجوار شركة الغاز,011 17603653,خصم 35 %,محمد مصطفى,012 11267242,
195,معامل فرست لاب ,تحاليل,المحلة ,ميدان الشون بجوار قسم ثانى المحلة,011 17603654,خصم 35 %,محمد مصطفى,012 11267242,
196,معامل فرست لاب ,تحاليل,السنطة,ش الجلاء برج الاطباء امام البنك الاهلى ,011 03023528,خصم 35 %,محمد مصطفى,012 11267242,
197,معامل فرست لاب ,تحاليل,الزقازيق,برج الجلاء  امام عمر افندى,011 51840007,خصم 35 %,محمد مصطفى,012 11267242,
198,معامل فرست لاب ,تحاليل,الاسكندرية,8ش كلية الطب محطة الرمل ,011 25514147,خصم 35 %,محمد مصطفى,012 11267242,
199,معامل الحكمة,تحاليل,مدينة نصر,14ش النزهة ميدان الساعة,010 67667685,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
200,معامل الحكمة,تحاليل,مدينة نصر,الحى العاشر - تقاطع مهدى عرفة مع احمد الزمر,010 67665552,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
201,معامل الحكمة,تحاليل,حلمية الزيتون,81ميدان حلمية الزيتون,010 67699769,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
202,معامل الحكمة,تحاليل,جسر السويس,157ش جمال عبد الناصر امام اورانج,010 70955660,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
203,معامل الحكمة,تحاليل,مدينة السلام,87مساكن الجمهورية ميدان اسكندرية,010 00256873,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
204,معامل الحكمة,تحاليل,مصر الجديدة,28ش عثمان بن عفان ميدان الاسماعيلية,010 00458607,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
205,معامل الحكمة,تحاليل,الدقى ,7ش التحرير امام مترو البحوث,010 68388755,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
206,معامل الحكمة,تحاليل,الهرم,93ش الهرم ناصية المريوطية,010 67665669,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
207,معامل الحكمة,تحاليل,فيصل,446ش فيصل برج النصر,010 66632813,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
208,معامل الحكمة,تحاليل,المهندسين,92أ شاحمد عرابى بجوار عمر افندى,010 97111878,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
209,معامل الحكمة,تحاليل,اكتوبر ,ميدان الحصرى ابراج المدينة سنتر,010 67667944,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
210,معامل الحكمة,تحاليل,اكتوبر ,216سنتر الاردنية الحى السابع,010 67738774,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
211,معامل الحكمة,تحاليل,الاسماعيلية,ش ابراهيم سلامة تقاطع محمد عبدهاعلى النساجون,010 00716921,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
212,معامل الحكمة,تحاليل,الاسماعيلية,ش التحرير مع حسنين حجازى,010 15919993,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
213,معامل الحكمة,تحاليل,السوييس,ش الجيش برج 23 يوليو الاربعين,010 67055455,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
214,معامل الحكمة,تحاليل,قنا ,ش الجمهورية الجميل سابقا  بجوار محلات انيس ديمترى,010 67559055,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
215,معامل الحكمة,تحاليل,قنا ,برج الفيروز ش 23 يوليو,010 67731112,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
216,معامل الحكمة,تحاليل,قنا ,ش المستشارين امام صيدلية وليد,0100 2266346,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
217,معامل الحكمة,تحاليل,نجع حمادى ,ش 25 يناير امام بنك مصر ,010 67711678,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
218,معامل الحكمة,تحاليل,دشنا,ش مصر اسوان امام موقف قنا القديم,010 67111885,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
219,معامل الحكمة,تحاليل,قفط,ش الجيش بجوار مستشفى قفط العام,010 67577599,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
220,معامل الحكمة,تحاليل,قوص,ميدان النوبة امام بنك مصر القديم ,010 67116118,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
221,معامل الحكمة,تحاليل,الاقصر,ش التلفزيون امام مبنى الاذاعة والتليفزيون,010 67729778,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
222,معامل الحكمة,تحاليل,اسنا ,ش المستشفى امام مستشفى اسنا العام,010 67717798,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
223,معامل الحكمة,تحاليل,اسوان,ش الكورنيش اعلى بنك القاهرة,010 62777547,خصم 20% على مؤسسة 23,د ريهام,012 24624091,
224,د احمد كمال ضيف,اسنان,التجمع الخامس,لايف ميديكال مول - خلف المحكمة,011 46815550,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
225,د احمد كمال ضيف,اسنان,مدينة نصر,الحى العاشر - محطة المدرسة - بجوار السوق التجارى,010 22436222,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
226,د احمد كمال ضيف,اسنان,شبرا الخيمة,الشارع الجديد امام ملحقة المعلمين,010 13753511,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
227,د محمود لاشين,اسنان,العجوزة,29ش نوال,010 10299643,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
228,د محمود لاشين,اسنان,الشيخ زايد,مجمع ديونز الطبى امام المدرسة الامريكية,010 11110780,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
229,د محمود لاشين,اسنان,حدائق الاهرام,21ش الثروة المعدنية البوابة الاولى,012 11199929,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
230,د وليد طنطاوى,اسنان,المهندسين,35ش جامعة الدول العربية,0100 5214141,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
231,د وليد طنطاوى,اسنان,الزمالك,35ش محمد مظهر ,015 01055505,خصم 50% على الكشف - الاجراءات نقابة اطباء 24,محمد عماد,1010101,
232,د وليد طنطاوى,اسنان,حدائق الاهرام,106ص - البوابة الثالثة,015 01800800,خصم 50% على الكشف - الاجراءات نقابة اطباء 25,محمد عماد,1010101,
233,د وليد طنطاوى,اسنان,الهرم,74ش عزالدين عمر,011 13866638,خصم 50% على الكشف - الاجراءات نقابة اطباء 26,محمد عماد,1010101,
234,د وليد طنطاوى,اسنان,الهرم 2,1عمارات الضرائب ش خاتم المرسلين,011 24442000,خصم 50% على الكشف - الاجراءات نقابة اطباء 27,محمد عماد,1010101,
235,د محمد احمد طه,اسنان,الجيزة,ميدان الجيزة - عمارة مصر للتامين,010 70226054,خصم 50% على الكشف - الاجراءات نقابة اطباء 23 ,محمد عماد,1010101,
236,د مجدى زين العابدين,اسنان,مصر الجديدة,4ش الجد - خلف نادى هليوليدو - قبل اشارة روكسي,24500996,خصم 25 % على الكشف - والاجراءات نقابة اطباء,د مجدى,011 49463724,كل يوم من 1 الى 7 مساءا عدا الخميس والجمعة
237,عيادات عتمان ,اسنان,المنصورة,ش الجيش برج بلازا 3,010 33266600,خصم 50% على الكشف - خصم 20 % على الاجراءات,محمد عماد,1010101,
238,د عمرو جمال ضيف,اسنان,الشرقية,فاقوس - المنشية الجديدة - برج ابو زيدان,015 50703565,خصم 50% على الكشف - خصم 20 % على الاجراءات,محمد عماد,1010101,
239,الفيلا للاسنان,اسنان,الشارع الجديد,11ش الحبيبى من الشارع الجديد - محطة الفيلا,010 98575753,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
240,الفيلا للاسنان,اسنان,شبرا الخيمة,شارع 15 مايو برج الاطباء اعلى النساجون,011 42424979,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
241,الفيلا للاسنان,اسنان,الشيخ زايد,مول داون تاون - عيادة رويال ,010 64948429,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
242,الفيلا للاسنان,اسنان,الشيخ زايد,مول داون تاون - مركز اى سمايل  ,015 52571151,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
243,الفيلا للاسنان,اسنان,اكتوبر,المحور المركزى رنا مول - اولاد رجب ,0111 6178778,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
244,الفيلا للاسنان,اسنان,اكتوبر,الحى الرابع - عمارة 23 امام بنك الاسكان والتعمير,0100 5841454,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
245,الفيلا للاسنان,اسنان,اكتوبر,المحور المركزى برج الاطباء اعلى بنك وفا ,010 50076268,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
246,الفيلا للاسنان,اسنان,اكتوبر,ميدان الحصرى - برج الامريكية اعلى كشرى التحرير,010 32452443,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
247,الفيلا للاسنان,اسنان,اكتوبر,الحى الاول المجاورة الرابعة شارع سنترال عمارة 862,010 99097091,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
248,الفيلا للاسنان,اسنان,حدائق لمعادى,25ش محى الروبى من ش حسنين الدسوقى تقسيم المساحة,010 10266234,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
249,الفيلا للاسنان,اسنان,المعادى,ش 2 مكرر من ش العروبة كورنيش المعادى,225250513,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
250,الفيلا للاسنان,اسنان,القبة,27ش امتداد ولى العهد,010 14182900,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
251,الفيلا للاسنان,اسنان,جسر السويس,397ش جمال عبد الناصر,0111 9431766,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
252,الفيلا للاسنان,اسنان,عين شمس,72ش 6 اكتوبر ,015 55877029,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
253,الفيلا للاسنان,اسنان,المهندسين,38ش سوريا ,011 56737493,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
254,الفيلا للاسنان,اسنان,المقطم,ماكس كير - شارع 9 بجوار كشرى التحرير,0100 5687646,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
255,الفيلا للاسنان,اسنان,الهرم,المريوطية هرم - شارع الاخلاص - ابراج ريتاج,010 96673571,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
256,الفيلا للاسنان,اسنان,بنها ,كفر شكر ش النصر خلف مسجد محى الدين,010 90797851,خصم 40% على الكشف - خصم 20 % على الاجراءات,101010,101010,
257,جمال الدين زهران,اسنان,النهضة,مفارق النهضة امام موقف المرج,010 96383567,خصم 50% على الكشف - 20% على الخدمات ,محمود درويش,1010101,
258,الابتسامة الجميلة ,اسنان,ميدان الف مسكن,42ش الانتاج - بجوار البن البرازيلى,012 05944249,كشف مجانى - خصم 40% على الخدمات,ماجد,012 05944249,
259,د على يونس,اسنان,مدينة نصر,14ب ش حافظ رمضان من مكرم عبيد ,011 11126099,خصم 40% على الكشف - خصم 15 % على الاجراءات والزرع والتقويم,101010,101010,
260,سمايل ديزاينر,اسنان,مصر الجديدة,104ش الثورة امام سفارة الامارات,010 20541515,خصم 25 % على الكشف - 10% على الخدمات والعمليات,فاطمة,010 20541515,
261,مركز مارفل,علاج طبيعى,التجمع الخامس,مركز خدمات المستثمرين الجنوبية - بلس مول ,011 28204070,خصم 70% على الكشف - خصم 25 % على الجلسات,101010,101010,
262,مركز حياة,علاج طبيعى,مدينة بدر,60ش الجامعة الروسية - الحى الاول المجاورة الثانية,010 63134859,خصم 50 % على الكشف - خصم 30 % على الجلسات,محمد عماد,1010101,
263,مركز حجاب ,علاج طبيعى,الشرقية,منيا القمح - امام مصنع ابو عمار,010 67766011,خصم 50% على الكشف - خصم 30 % على الجلسات,101010,101010,
264,مركز المجد - د ملاك ميخائيل,علاج طبيعى,الاسماعيلية,السلطان حسين - مول دنيا,010 68138009,خصم 50% على الكشف - خصم 30 % على الجلسات,محمد عماد,1010101,
265,مركز المجد - د ملاك ميخائيل,علاج طبيعى,القنطرة غرب,ش الجيش امام المصرية للاتصالات,0100 8630638,خصم 50% على الكشف - خصم 20 % على الجلسات,محمد عماد,1010101,
266,مركز العطاء,علاج طبيعى,المعادى,306صقر قريش  - اعلى كماليات الشامى - المعادى الجديدة,0100 1076182,خصم 25 % على الجلسات و التخسيس,د هشام ,011 51684668,
267,مركز د احمد جابر,علاج طبيعى,جسر السويس,اجاويد بلازا مول الدور الثامن,011 20187048,خصم 50 % على الكشف  و الجلسات,احمد,010 96999961,
268,مركز د احمد جابر,علاج طبيعى,فيصل,7ش حسين الجمل - محطة التميمى,010 25101874,خصم 50 % على الكشف  و الجلسات,احمد,010 96999961,
269,مركز د احمد جابر,علاج طبيعى,اكتوبر,محور جمال عبد الناصر مول اكتوبر فيستيفال سيتى,1010101,خصم 50 % على الكشف  و الجلسات,احمد,010 96999961,
270,كيان كير,علاج طبيعى,الشروق,مول داون تاون الدور الثانى,010 11288841,خصم 30%,د عمر,010 11288841,
271,المروة ,علاج طبيعى,اسيوط,ش الجلاء امام مستشفى العقاد,01000 166394,خصم 30%,د محمد اسماعيل,010 11198922,
272,صحتى,علاج طبيعى,اسيوط,ش الجيش اول تقسيم البترول,01000 166394,خصم 30%,د محمد اسماعيل,010 11198922,
273,د عبد الحميد الغيطانى,علاج طبيعى,مصر الجديدة,35ش محمد فريد - جامع الفتح,012 23400612,خصم 40% على الكشف - 20% على الجلسات وخدمات التغذية العلاجية,د عبد الحميد,0111 9978900,
274,د عبد الحميد الغيطانى,علاج طبيعى,شبرا الخيمة,منزل كوبرى عرابى,0111 9978900,خصم 40% على الكشف - 20% على الجلسات وخدمات التغذية العلاجية,د عبد الحميد,0111 9978900,
275,د عبد الحميد الغيطانى,علاج طبيعى,المطرية,2ش على جلال من ش التروللى - سنترال المطرية,0111 9978900,خصم 40% على الكشف - 20% على الجلسات وخدمات التغذية العلاجية,د عبد الحميد,0111 9978900,
276,تيوليب ,علاج طبيعى,مصر الجديدة,110ش الحجاز - هليوبوليس,010 14949488,خصم 50% على الكشف - 35% على الجلسات  والخدمات,101010,101010,
277,تيوليب ,علاج طبيعى,التجمع الخامس,حى النرجس عمارات مول اوزون الطبى عيادة 150,010 30068002,خصم 50% على الكشف - 35% على الجلسات  والخدمات,101010,101010,
278,د جمال ابو رجيلة ,مسالك,مصر الجديدة,ميدان الجامع - 2 ش دمنهور - صلاح الدين,0100 2694741,خصم 25 % على الكشف ,101010,101010,
279,د جمال ابو رجيلة ,مسالك,المطرية,ميدان المطرية - ابراج بيت العز برج أ الدور الثانى ,010 63432743,خصم 25 % على الكشف ,101010,101010,
280,د احمد المسيرى,"مخ واعصاب 
نفسية وعصبية",المهندسين,24ش جامعة الدول العربية ,012 77595799,خصم 40% على الكشف - 20% على الاجراءات وجلسات العلاج النفسي,امين رفعت,010 62294521,
281,د احمد المسيرى,"مخ واعصاب 
نفسية وعصبية",العباسية,99ش العباسية بجوار قسم الوايلى,010 11993359,خصم 40% على الكشف - 20% على الاجراءات وجلسات العلاج النفسي,امين رفعت,010 62294521,
282,د امير عبد الكريم,تجميل,مصر الجديدة,4ش الميرغنى من الخليفة المامون - روكسي,010 61808593,خصم 35% على الكشف - 10% عمليات شفط الدهون - 20% عمليات ليزر,د امير,01000 921396,
283,د شهاب الاتربى,قلب وقسطرة,مصر الجديدة,23ش الامام على - ميدان الاسماعيلية,011 43444176,خصم 40 % على الكشف - 30 % على الايكو,د شهاب,0100 1717943,السبت 9 الى 10.30 0 الاحد والثلاثاء من 6 الى 8
284,د عبد الله العتر,باطة وكلى,مدية نصر,5ش مهدى عرفة ميدان الحى العاشر,010 13581585,خصم 50 % على الكشف - 30 % على الخدمات,د عبد الله ,010 13581585,
285,د هاء لبيب,ساء وتوليد,شبرا,51ش شبرا اعلى بك فيصل,0100 1999354,خصم 35 % على الكشف - 10% على العمليات,د هناء,012 77300623,
286,د حبيب سمير ,جراحة ومناظير,شبرا,152ش الترعة البولاقية,012 70496989,خصم 50 % على الكشف ,د حبيب,0100 3634385,
287,د على شوشان,نفسية وعصبية,وسط البلد,84ش القصر العيى,0100 1971952,خصم 30% على الكشف - 20% على الجلسات,د على ,0100 1971952,
288,د دعاء عسكر,توليد,اكتوبر,الحى الثالث - عمارة 1627,010 97083429,خصم 30 % على الكشف,نورا,015 51446059,
289,بيوتى ايز,بصريات,مصر الجديدة,9ش البوسطة من ش الاهرام خلف ملاهى ادهم,011 12916476,خصم 25 % على النظارات الطبية والشمسية والعدسات اللاصقة,ا . امير,0100 3892392,